title,tag,info,comments,content
詹森艺术史（插图第7版）,豆瓣图书标签: 艺术史,H.W.詹森(H.W.Janson)、A.F.詹森(A.F.Janson)、J.E.戴维斯(J.E.Davies)等 / 艺术史组合翻译实验小组 / 世界图书出版公司 / 2013-7 / 698.00元,(633人评价),"◎享誉全球五十载的艺术史划时代巨著
◎叙述时间跨度最长，门类最齐，插图最丰富的单卷本艺术史
◎艺术通史著作的典范，畅销半世纪的艺术类图书
本书是一部艺术通史..."
印象巴黎,豆瓣图书标签: 艺术史,[加]罗斯·金 (Ross King) / 冯璇 / 甲骨文丛书｜社会科学文献出版社 / 2019-6 / 96.00,(62人评价),当美国内战进行得如火如荼时，在大西洋对岸的巴黎，也有一场革命正在各间画室里酝酿成型。那些后来会让印象主义成为历史上最受欢迎的艺术形式的艺术家们在此时展出了自...
一幅画看日本,豆瓣图书标签: 艺术史,[日] 髙畑勋 / 张颖 / 湖南美术出版社 / 2019-8 / 78.00,(79人评价),"吉卜力工作室创始人、日本动画界殿堂级人物、《萤火虫之墓》《岁月的童话》《百变狸猫》《辉夜姬物语》等经典动画的导演、编剧高畑勋写给大家的30堂日本美术课。
高..."
像艺术家一样思考,豆瓣图书标签: 艺术史,[英] 威尔·贡培兹、Will Gompertz / 艾欣 / 后浪丨湖南美术出版社 / 2019-4 / 36.00元,(425人评价),"归纳成就艺术大师的 10 个关键词
揭示大师们的创作秘辛
凝聚 BBC 艺术频道主编威尔·贡培兹职业生涯的所见、所知、所想
·
威尔·贡培兹是你能遇到的最好..."
美术馆里聊怪咖,豆瓣图书标签: 艺术史,[日] 山田五郎、[日] 古山淳子 / 汪婷 / 湖南美术出版社 / 2017-12 / 68.00元,(2181人评价),"一本贱萌贱萌的艺术史
蛇精病的外表，史学家的灵魂
.....................
※编辑推荐※
♚ 一档艺术家们的吐槽大会，12位具有代表性的蛇..."
中国艺术史,豆瓣图书标签: 艺术史,[英]迈克尔·苏立文（Michael Sullivan） / 徐坚 / 上海人民出版社 / 2014-4-1 / 79.00,(761人评价),"最好的中国艺术史入门书，牛津、耶鲁、普林斯顿沿用40年之经典读本
牛津大学荣休院士、中国艺术史权威 迈克尔·苏立文院士 继《20世纪中国艺术与艺术家》之后又..."
大明,豆瓣图书标签: 艺术史,[英]柯律格 / 黄小峰 / 生活·读书·新知三联书店 / 2019-8-1 / 68.00元,(少于10人评价),《大明》是一部具有创新性和可读性的历史读物，通过丰富的图像和实物材料，呈现了中国历史上的一个文化高峰——明朝。它不是按照时间顺序讲述帝王的更迭，没有面面俱到...
中国绘画的深意,豆瓣图书标签: 艺术史,[日]宫崎法子 / 傅彦瑶 / 湖南文艺出版社 / 2019-8 / 78.00元,(60人评价),"《中国绘画的深意》是日本汉学家宫崎法子解读中国绘画的经典之作。
作者选取了中国绘画中非常重要的两个类别——山水画、花鸟画，作为其研究对象，以这两类画的兴衰史..."
艺术哲学,豆瓣图书标签: 艺术史,(法)丹纳 / 傅雷 / 生活·读书·新知三联书店 / 2016-10-1 / 58.00,(300人评价),《艺术哲学》是“一部有关艺术、历史及人类文化的巨著”，“采用的不是一般教科书的形式，而是以渊博精深之见解指出艺术发展的主要潮流”。丹纳主张研究学问，应“从事...
艺术创世记,豆瓣图书标签: 艺术史,[英] 奈杰尔·斯皮维 / 盛夏 / 中信出版集团 / 2019-7 / 118.00,(29人评价),"BBC热播纪录片同名图书，高口碑之作，豆瓣评分9.0
百科全书式艺术通识读本，艺术版《人类简史》
看英国剑桥大学学者、艺术史专家如何揭示艺术起源的秘密 ——..."
﻿人类简史,豆瓣图书标签: 人文,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00,(98896人评价),"十万年前，地球上至少有六种不同的人
但今日，世界舞台为什么只剩下了我们自己？
从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，
从雪维洞穴壁上的原始..."
秘境,豆瓣图书标签: 人文,[美] 乔舒亚·福尔、迪伦·图拉斯、埃拉·莫顿 / 张依玫 / 后浪丨民主与建设出版社 / 2019-6 / 198.00元,(303人评价),"比梦境更离奇的全球隐秘之地
风趣与格调并存的旅行书
美国亚马逊地理类/旅游类畅销书榜首
《纽约时报》年度畅销书
◎ 编辑推荐
☆ 人类自古就着迷于非凡之境，..."
菊与刀,豆瓣图书标签: 人文,（美）鲁思・本尼迪克特 / 吕万和、熊达云、王智新 / 商务印书馆 / 1990-6 / 16.00,(49365人评价),“菊”本是日本皇室家徽，“刀”是武士道文化的象征。美国人类学家鲁思・本尼迪克特用《菊与刀》来揭示日本人的矛盾性格亦即日本文化的双重性(如爱美而黩武、尚礼而好...
未来简史,豆瓣图书标签: 人文,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,(33050人评价),进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题...
万古江河,豆瓣图书标签: 人文,许倬云 / 理想国|湖南人民出版社 / 2017-12-1 / 68.00,(670人评价),"★ 与余英时、黄仁宇、杨联陞、何炳棣、张光直比肩的海外华裔史学大家中国通史力作
★ 第三届“文津图书奖”获奖作品
★余英时、姚大力、葛兆光、王子今、许纪霖、..."
美的历程,豆瓣图书标签: 人文,李泽厚 / 生活·读书·新知三联书店 / 2009-1-1 / 43.00元,(11667人评价),本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更...
文学回忆录（全2册）,豆瓣图书标签: 人文,木心 讲述、陈丹青 笔录 / 广西师范大学出版社 / 2013-1-10 / 98.00元,(27957人评价),"文学是可爱的。生活是好玩的。艺术是要有所牺牲的。
八十年代末，木心客居纽约时期，亦自他恢复写作、持续出书以来，纽约地面的大陆和台湾同行在异国谋饭之中，居然促..."
枪炮、病菌与钢铁,豆瓣图书标签: 人文,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,(23777人评价),为什么是欧亚大陆人征服、赶走或大批杀死印第安人、澳大利亚人和非洲人，而不是相反？为什么么小麦和玉米、牛和猪以及现代世界的其他一些“不了起的”作物和牲畜出现在...
人类群星闪耀时,豆瓣图书标签: 人文,斯蒂芬·茨威格 / 张伟 / 北京出版社 / 2005-1 / 25.00元,(5075人评价),"这本茨威格的名著被介绍到中国已经几十年了，我们这次重新翻译、约请历史学者撰写背景资料再重新出版，更多的意义是想透过文字让读者认识到：
　　一、茨威格眼中的英..."
俗世奇人,豆瓣图书标签: 人文,冯骥才 / 作家出版社 / 2008-12 / 18.00元,(11763人评价),《俗世奇人(修订版)》由19个短篇小说连缀构成，各篇文字极精短，半文半白，带有“三言两拍”笔意，作品的风格也接近古典传奇色彩，取话本文学旨趣。书中所讲之事，...
天真的人类学家,豆瓣图书标签: 人文,[英] 奈吉尔·巴利 / 何颖怡 / 广西师范大学出版社 / 2011-7 / 35.00元,(6077人评价),本书诚实但又不失风趣地记录了作为人类学家的作者在非洲喀麦隆多瓦悠人村落两次进行田野工作的经历，将人类学家如何克服乏味、灾难、生病与敌意的真实田野生活拍案叫绝...
